Name	mz	rtime	Cel_pure_1-B,1_01_21144	Cel_pure_1-B,1_01_21149	Cel_pure_1-B,1_01_21154	Cel_pure_1-B,1_01_21159	Cel_pure_1-B,1_01_21164
Cluster_04478	359.2649992	5.877390378	830.1611328	1050.282715	1187.886353	1125.036499	1236.52002
Cluster_04479	359.2670444	26.721518	1208.550659	1126.083496	1210.60376	1000.214722	965.9144897
Cluster_04481	359.3151538	38.43007945	3306.085205	2378.939941	1999.911011	2272.123047	2072.54126
Cluster_04483	360.0845803	9.149272051	223715.3125	231872.5625	233893.1406	241423.4531	256890.7656
Cluster_04484	360.1192441	9.148424613	2734.357178	3099.501709	3151.85376	3016.091797	3292.844482
Cluster_04485	360.1416637	1.500414826	2618.953125	2415.070557	2847.61792	2803.715332	3002.648438
Cluster_04487	360.2130152	3.525422836	7654.481934	8044.977051	7539.588867	8163.533203	8510.174805
Cluster_04491	360.2742432	23.32698378	1131.253174	1139.584229	1111.287598	1089.899902	896.1940308
Cluster_04492	360.3239302	40.60673695	4320.844238	5182.165527	4723.664551	5249.562012	5028.736328
Cluster_04494	361.1392209	1.592107209	2103.573486	1938.359009	1926.409302	1949.095215	1920.162354
Cluster_04497	361.1469246	32.86485386	807.9881592	951.1448975	783.6508179	921.2196655	813.6915283
Cluster_04498	361.1715625	1.606814504	2295.277588	2643.43335	2361.748535	2375.809082	2590.462402
Cluster_04499	361.1823127	36.13838128	1326.317993	1272.196777	1517.284668	2221.684814	1965.348999
Cluster_04501	361.2042321	30.91809278	6975.427734	7579.216309	6969.306641	7355.459961	7044.303711
Cluster_04503	361.21922	1.54908752	4941.902832	4818.216309	4776.36377	4807.657715	5213.135742
Cluster_04504	361.2219444	29.63944113	632.8582153	1000.890381	1572.511108	2136.86792	2738.22876
Cluster_04505	361.2219222	32.10818267	830.9841309	829.692627	1122.261597	1273.94873	1475.857666
Cluster_04506	361.2443113	1.602782895	5475.648438	4988.532715	4532.710449	4850.470215	5256.393555
Cluster_04507	361.2442653	39.55427023	2778.430176	2441.239502	2219.883789	2147.147705	2005.452759
Cluster_04510	361.3824828	39.55350098	956.835083	1006.156006	923.9879761	912.7827148	1071.515137
Cluster_04511	361.3825704	42.79526866	2236.040527	2505.536865	2330.108398	2566.736084	2485.967041
Cluster_04514	362.0636035	8.145504643	9698.736328	9432.910156	9014.483398	9533.401367	9726.946289
Cluster_04515	362.0635963	13.26914777	14060.41113	14894.36523	14911.9209	14603.86816	15539.2373
Cluster_04516	362.0635402	15.26426316	6111.845703	6383.420898	6354.042969	6439.831543	7073.897949
